airline_sentiment;is_reply;reply_count;retweet_count;text;tweet_coord;tweet_created;tweet_location;user_timezone
neutral;FALSO;0;0;Trabajar en #Ryanair como #TMA: https://t.co/ruUArBe1tO #empleo;;Fri Nov 03 12:05:12 +0000 2017;;Madrid
neutral;VERDADERO;0;0;@Iberia @FIONAFERRER Cuando gusten en Cancún se viaja y disfruta de manera sin igual;;Sun Nov 26 18:40:28 +0000 2017;;Mexico City
negative;FALSO;0;0;Sabiais que @Iberia te trata muy bien en santiago de chile?Te cambia el asiento,te manda a volar en el wc trasero,e… https://t.co/uansbOnn69;;Mon Dec 25 15:40:45 +0000 2017;;Madrid
negative;FALSO;0;0;"NUNCA NUNCA NUNCA pidáis el café de Ryanair.
Bueno, nada que vendan a bordo.";;Mon Nov 06 14:18:35 +0000 2017;;Pacific Time (US & Canada)
positive;VERDADERO;0;0;@cris_tortu @dakar @Iberia @Mitsubishi_ES @BFGoodrichEU @BurgosTur @ASTIntlogistics @Uremovil @karbium Muchos éxito… https://t.co/Ed9VrKyVU7;;Mon Jan 01 23:00:57 +0000 2018;;Buenos Aires
positive;VERDADERO;0;0;@mgd_1970 Wow que bonito , yo solo he volado unas 3 o 4 veces en un 747 de @Iberia y siempre fue a tu tierra :);;Mon Jan 01 21:15:34 +0000 2018;Mojácar, España;Madrid
neutral;FALSO;0;0;Iberia Plus cumple 25 años. Queremos celebrarlo contigo de una manera muy especial. Elige tu número favorito y... ¡… https://t.co/WuuJr2dOGE;;Thu Dec 21 17:18:03 +0000 2017;;
positive;FALSO;0;0;Barómetro #Business: Iberia (57%) y Vueling (61%) son las compañías aéreas más utilizadas en los #viajes de… https://t.co/jl80ib9JYr;;Mon Dec 18 19:04:41 +0000 2017;;
positive;VERDADERO;0;0;@Iberia Felicitaciones IBERIA!;;Thu Dec 14 17:18:06 +0000 2017;;
neutral;VERDADERO;0;0;@cbellolio @Iberia @NuevoPudahuel Chuata, yo tengo un Madrid - Stgo en un par de semanas. Habrá que cruzar los dedos!;;Sat Dec 02 02:03:13 +0000 2017;;Santiago
neutral;FALSO;0;0;"Disponibilidad aérea Internacional en los siguientes destinos:
 ?ARGENTINA-GOL AIRLINES 600$
 ?MADRID-IBERIA AIRLIN… https://t.co/jjIvKQBEaS";;Thu Nov 30 15:48:49 +0000 2017;;
neutral;FALSO;0;0;Ahora... https://t.co/f3pEPIg2OI;;Sun Dec 17 14:59:16 +0000 2017;;
neutral;FALSO;0;0;Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/uOlJ07jA3l;;Tue Nov 21 01:48:32 +0000 2017;;
neutral;FALSO;0;0;Air France KLM, al igual que Iberia, eliminó la duplicidad de avales de las agencias | Nexotur https://t.co/zHSwQ0B4ZB;;Mon Jan 08 15:01:21 +0000 2018;;Madrid
negative;FALSO;0;0;Un año de estos nos unirán con el resto de iberia. ¿No decían en Cataluña que el AVE en Galicia no era rentable? https://t.co/qDPzFbc5oT;;Mon Nov 13 08:59:07 +0000 2017;;Madrid
negative;VERDADERO;0;0;@Alpaniagu Lo de ryanair es penoso...yo sólo viajo con ellos si no tengo otra alternativa...;;Thu Jan 04 19:27:40 +0000 2018;;Greenland
negative;VERDADERO;0;0;@Iberia Además, he intentado hacer d nuevo la compracon otra tarjeta y no me lo permite aunq en la tarjeta tenga di… https://t.co/ik1qsMfrrE;;Sat Nov 25 10:22:08 +0000 2017;;
positive;VERDADERO;0;0;@algoqrecordar @Iberia  @viajarlocura @lacosmopolilla   @WanderlustTB @TragaViajes  Una suerte poder volar, pero especialmente aterrizar ?????;;Tue Dec 19 12:53:46 +0000 2017;;
neutral;FALSO;0;0;La mejor foto tecnológica del año 2017 https://t.co/c2gDhu1Fe3 #WomenInTechSpain #redhat @juliaberp_julia Red Hat Iberia Country Manager;;Fri Jan 05 00:41:26 +0000 2018;Madrid, Comunidad de Madrid;
positive;FALSO;0;0;?? ?? ¡Chollo! Maleta Aerolite barata por sólo 37,99 € Enlace: https://t.co/4lfu1HSkgP;;Wed Jan 03 14:01:07 +0000 2018;;Pacific Time (US & Canada)
positive;FALSO;0;0;OMG! ?? Estoy viendo que Iberia tiene en agosto vuelo directo a San Francisco (y vuelta) y mi corazón está saltando… https://t.co/dGK936alSu;;Sat Dec 30 13:15:16 +0000 2017;;Madrid
negative;VERDADERO;0;0;@javidevicalvaro Iberia es la ETA Militar de las aerolineas. Mis peores experiencias han sido todas con ellos;;Thu Nov 23 08:19:41 +0000 2017;;Dublin
negative;VERDADERO;0;0;@andreaesv Hola Andrea. Mi pareja ya tiene sentencia firme por el abandono de Iberia en Praga. Le han indemnizado c… https://t.co/88aFwsY9G6;;Mon Nov 20 10:06:54 +0000 2017;;
negative;VERDADERO;0;0;@flandivar @quiz_viajero llegando a #Málaga por #Ryanair, nos pusieron una musiquita por el altavoz que nos encenti… https://t.co/rV5DNhaJGW;;Sun Dec 03 11:03:48 +0000 2017;Málaga, España;Buenos Aires
negative;VERDADERO;0;0;@Iberia @Renfe Finalmente @renfe tuvo que proporcionarme una autorización para viajar, pero esto es lamentable y me… https://t.co/2ezAZOFqqO;;Sat Dec 23 17:48:43 +0000 2017;;Greenland
negative;VERDADERO;0;0;@Iberia Pues la verdad es que no. Pocas explicaciones, ninguna alternativa tenida en cuenta, etc. Dejando mucho que desear.;;Fri Dec 22 15:27:51 +0000 2017;;
neutral;FALSO;0;0;Con @Iberia, mi destino a un solo click. ¡Deseadme suerte! #HolaArgentina. Hola 79 destinos europeos al mejor precio https://t.co/yNgJabJbSg;;Mon Nov 27 15:56:48 +0000 2017;Quilmes, Argentina;
neutral;FALSO;0;0;En @Iberia ofrecen un 10% de descuento a los asistentes a #GijónSeCome con el código de descuento IIGIJONSECOME https://t.co/PAx6DHfUuL;;Tue Nov 07 14:59:27 +0000 2017;;Pacific Time (US & Canada)
negative;VERDADERO;0;0;@Iberia Hice una compra de pasaje y nunca llegó el mail con la confirmación, si bien figura la reserva ingresando e… https://t.co/m2sthY43us;;Wed Nov 29 10:53:11 +0000 2017;;Buenos Aires
